word,isCorrect,class,level
annalogy,false,noun,c1
analyse,true,verb,b1
annalyse,false,verb,b1
analysis,true,noun,b1
annalysis,false,noun,b1
analyst,true,noun,b2
annalyst,false,noun,b2
ancestor,true,noun,b2
encestor,false,noun,b2
anchor,true,noun,c1
ancohr,false,noun,c1
angel,true,noun,c1
anegl,false,noun,c1
anger,true,noun,b2
anegr,false,noun,b2
angle,true,noun,b2
angl,false,noun,b2
angrily,true,adverb,
angrilly,false,adverb,
animation,true,noun,b2
animasion,false,noun,b2
anniversary,true,noun,b2
anniversery,false,noun,b2
announce,true,verb,b1
annoance,false,verb,b1
announcement,true,noun,b1
annoancement,false,noun,b1
annoy,true,verb,b1
anoy,false,verb,b1
annoyed,true,adjective,b1
anoyed,false,adjective,b1
annoying,true,adjective,b1
anoying,false,adjective,b1
annual,true,adjective,b2
anual,false,adjective,b2
annually,true,adverb,b2
anually,false,adverb,b2
anonymous,true,adjective,c1
anonymoas,false,adjective,c1
anticipate,true,verb,b2
anticippate,false,verb,b2
anxiety,true,noun,b2
anxeity,false,noun,b2
anxious,true,adjective,b2
anxioas,false,adjective,b2
apart,true,adverb,b1
appart,false,adverb,b1
apologize,true,verb,b1
apollogize,false,verb,b1
apology,true,noun,b2
apollogy,false,noun,b2
apparatus,true,noun,c1
aparatus,false,noun,c1
apparent,true,adjective,b2
apparant,false,adjective,b2
apparently,true,adverb,b2
aparently,false,adverb,b2
appeal,true,noun,b2
appeel,false,noun,b2
appealing,true,adjective,c1
appeeling,false,adjective,c1
appetite,true,noun,c1
apetite,false,noun,c1
applaud,true,verb,c1
aplaud,false,verb,c1
applicable,true,adjective,c1
applicible,false,adjective,c1
applicant,true,noun,b2
aplicant,false,noun,b2
application,true,noun,b1
applicasion,false,noun,b1
appoint,true,verb,c1
apoint,false,verb,c1
appointment,true,noun,b1
apointment,false,noun,b1
appreciate,true,verb,b1
apreciate,false,verb,b1
appreciation,true,noun,c1
appreciasion,false,noun,c1
approach,true,noun,b2
approuch,false,noun,b2
appropriate,true,adjective,b2
apropriate,false,adjective,b2
appropriately,true,adverb,b2
apropriately,false,adverb,b2
approval,true,noun,b2
aproval,false,noun,b2
approve,true,verb,b2
aprove,false,verb,b2
approximately,true,adverb,b1
aproximately,false,adverb,b1
arbitrary,true,adjective,c1
arbitrery,false,adjective,c1
architectural,true,adjective,c1
archittectural,false,adjective,c1
archive,true,noun,c1
archiv,false,noun,c1
arena,true,noun,c1
arenna,false,noun,c1
arguably,true,adverb,c1
argubaly,false,adverb,c1
arise,true,verb,b2
arisse,false,verb,b2
armed,true,adjective,b2
aremd,false,adjective,b2
arms,true,noun,b2
arsm,false,noun,b2
array,true,noun,c1
aray,false,noun,c1
arrest,true,noun,b1
arest,false,noun,b1
arrival,true,noun,b1
arival,false,noun,b1
arrow,true,noun,b2
arow,false,noun,b2
articulate,true,verb,c1
articullate,false,verb,c1
artificial,true,adjective,b2
artiphicial,false,adjective,b2
artistic,true,adjective,b2
artitsic,false,adjective,b2
artwork,true,noun,b2
artowrk,false,noun,b2
ashamed,true,adjective,b2
ashammed,false,adjective,b2
aside,true,adverb,b2
asside,false,adverb,b2
aspect,true,noun,b2
aspcet,false,noun,b2
aspiration,true,noun,c1
aspirasion,false,noun,c1
aspire,true,verb,c1
aspirre,false,verb,c1
assassination,true,noun,c1
assassinasion,false,noun,c1
assault,true,noun,c1
asault,false,noun,c1
assemble,true,verb,c1
asemble,false,verb,c1
assembly,true,noun,c1
asembly,false,noun,c1
assert,true,verb,c1
asert,false,verb,c1
assertion,true,noun,c1
assersion,false,noun,c1
assess,true,verb,b2
asess,false,verb,b2
assessment,true,noun,b2
asessment,false,noun,b2
asset,true,noun,b2
aset,false,noun,b2
assign,true,verb,b2
asign,false,verb,b2
assignment,true,noun,b1
asignment,false,noun,b1
assist,true,verb,b1
asist,false,verb,b1
assistance,true,noun,b2
assistence,false,noun,b2
associate,true,verb,b2
asociate,false,verb,b2
associated,true,adjective,b2
asociated,false,adjective,b2
association,true,noun,b2
associasion,false,noun,b2
assume,true,verb,b2
asume,false,verb,b2
assumption,true,noun,b2
assumpsion,false,noun,b2
assurance,true,noun,c1
assurence,false,noun,c1
assure,true,verb,b2
asure,false,verb,b2
astonishing,true,adjective,b2
astonnishing,false,adjective,b2
asylum,true,noun,c1
assylum,false,noun,c1
atmosphere,true,noun,b1
atmosfere,false,noun,b1
atrocity,true,noun,c1
atrocitty,false,noun,c1
attach,true,verb,b1
atach,false,verb,b1
attachment,true,noun,b2
atachment,false,noun,b2
attain,true,verb,c1
atain,false,verb,c1
attempt,true,noun,b2
atempt,false,noun,b2
attendance,true,noun,c1
attendence,false,noun,c1
attitude,true,noun,b1
atitude,false,noun,b1
attorney,true,noun,c1
atorney,false,noun,c1
attract,true,verb,b1
atract,false,verb,b1
attraction,true,noun,b1
attracsion,false,noun,b1
attribute,true,noun,c1
atribute,false,noun,c1
auction,true,noun,b2
aucsion,false,noun,b2
audio,true,adjective,b2
auido,false,adjective,b2
audit,true,noun,c1
auidt,false,noun,c1
authentic,true,adjective,c1
authnetic,false,adjective,c1
authority,true,noun,b1
authoritty,false,noun,b1
authorize,true,verb,c1
authorrize,false,verb,c1
auto,true,noun,c1
autto,false,noun,c1
automatic,true,adjective,b2
autommatic,false,adjective,b2
automatically,true,adverb,b2
automaticaly,false,adverb,b2
autonomy,true,noun,c1
autonommy,false,noun,c1
availability,true,noun,c1
availlability,false,noun,c1
average,true,verb,b1
averrage,false,verb,b1
await,true,verb,c1
awiat,false,verb,c1
award,true,verb,b1
awrad,false,verb,b1
aware,true,adjective,b1
awarre,false,adjective,b1
awareness,true,noun,b2
awarenes,false,noun,b2
awkward,true,adjective,b2
awkawrd,false,adjective,b2
back,true,verb,b2
bakc,false,verb,b2
backdrop,true,noun,c1
backrdop,false,noun,c1
backing,true,noun,c1
bacikng,false,noun,c1
backup,true,noun,c1
bacukp,false,noun,c1
backwards,true,adverb,b1
backawrds,false,adverb,b1
bacteria,true,noun,b2
bacterria,false,noun,b2
badge,true,noun,b2
badg,false,noun,b2
bail,true,noun,c1
bali,false,noun,c1
bake,true,verb,b1
balance,true,noun,b1
balence,false,noun,b1
balanced,true,adjective,b2
balenced,false,adjective,b2
ballet,true,noun,b2
balet,false,noun,b2
balloon,true,noun,b2
baloon,false,noun,b2
ballot,true,noun,c1
balot,false,noun,c1
banner,true,noun,c1
baner,false,noun,c1
bare,true,adjective,c1
barre,false,adjective,c1
barely,true,adverb,b2
barelly,false,adverb,b2
bargain,true,noun,b2
baragin,false,noun,b2
barrel,true,noun,c1
barel,false,noun,c1
barrier,true,noun,b2
barreir,false,noun,b2
base,true,noun,b1
basse,false,noun,b1
basement,true,noun,b2
basemment,false,noun,b2
basic,true,adjective,b1
bassic,false,adjective,b1
basically,true,adverb,b2
normaly,false,adverb,b2
basis,true,noun,b1
bassis,false,noun,b1
basket,true,noun,b2
basekt,false,noun,b2
bass,true,noun,c1
battery,true,noun,b1
battary,false,noun,b1
battle,true,noun,b1
batle,false,noun,b1
battlefield,true,noun,c1
battlefeild,false,noun,c1
beam,true,noun,c1
beem,false,noun,c1
bear,true,verb,b2
beer,false,verb,b2
beast,true,noun,c1
beest,false,noun,c1
beat,true,noun,b2
beet,false,noun,b2
beauty,true,noun,b1
beeuty,false,noun,b1
behalf,true,noun,c1
behalph,false,noun,c1
being,true,noun,b2
bieng,false,noun,b2
belief,true,noun,b1
beleif,false,noun,b1
bell,true,noun,b1
beloved,true,adjective,c1
belloved,false,adjective,c1
bench,true,noun,c1
becnh,false,noun,c1
benchmark,true,noun,c1
bencmhark,false,noun,c1
bend,true,noun,b1
bedn,false,noun,b1
beneath,true,preposition,c1
beneeth,false,preposition,c1
beneficial,true,adjective,b2
benephicial,false,adjective,b2
beneficiary,true,noun,c1
beneficiery,false,noun,c1
benefit,true,verb,b1
benephit,false,verb,b1
bent,true,adjective,b2
betn,false,adjective,b2
beside,true,preposition,b2
besside,false,preposition,b2
besides,true,adverb,b2
bessides,false,adverb,b2
betray,true,verb,c1
betary,false,verb,c1
better,true,noun,b1
beter,false,noun,b1
beyond,true,adverb,b2
beynod,false,adverb,b2
bias,true,noun,b2
bisa,false,noun,b2
bill,true,verb,b2
bind,true,verb,c1
bidn,false,verb,c1
biography,true,noun,c1
biografy,false,noun,c1
biological,true,adjective,b2
biollogical,false,adjective,b2
bishop,true,noun,c1
bisohp,false,noun,c1
bite,true,noun,b1
bitte,false,noun,b1
bitter,true,adjective,b2
biter,false,adjective,b2
bizarre,true,adjective,c1
bizare,false,adjective,c1
blade,true,noun,c1
blad,false,noun,c1
blame,true,noun,b2
blamme,false,noun,b2
blanket,true,noun,b2
blaknet,false,noun,b2
blast,true,noun,c1
blsat,false,noun,c1
bleed,true,verb,c1
blead,false,verb,c1
blend,true,noun,c1
blned,false,noun,c1
bless,true,verb,c1
bles,false,verb,c1
blessing,true,noun,c1
blesing,false,noun,c1
blind,true,adjective,b2
blnid,false,adjective,b2
block,true,noun,b1
blcok,false,noun,b1
blow,true,noun,b2
blwo,false,noun,b2
board,true,verb,b1
bourd,false,verb,b1
boast,true,verb,c1
boust,false,verb,c1
bold,true,adjective,b2
bodl,false,adjective,b2
bomb,true,noun,b1
bobm,false,noun,b1
bombing,true,noun,b2
bomibng,false,noun,b2
bond,true,noun,b2
bodn,false,noun,b2
bonus,true,noun,c1
bonnus,false,noun,c1
booking,true,noun,b2
booikng,false,noun,b2
boom,true,noun,c1
bomo,false,noun,c1
boost,true,noun,b2
bosot,false,noun,b2
border,true,noun,b1
boredr,false,noun,b1
bother,true,verb,b1
botehr,false,verb,b1
bounce,true,verb,c1
boance,false,verb,c1
bound,true,adjective,b2
boand,false,adjective,b2
boundary,true,noun,c1
boundery,false,noun,c1
branch,true,noun,b1
bracnh,false,noun,b1
brand,true,noun,b1
brnad,false,noun,b1
brave,true,adjective,b1
brav,false,adjective,b1
breach,true,noun,c1
breech,false,noun,c1
breakdown,true,noun,c1
breekdown,false,noun,c1
breakthrough,true,noun,c1
breekthrough,false,noun,c1
breast,true,noun,b2
breest,false,noun,b2
breath,true,noun,b1
breeth,false,noun,b1
breathe,true,verb,b1
breethe,false,verb,b1
breathing,true,noun,b1
breething,false,noun,b1
breed,true,noun,c1
bread,false,noun,c1
brick,true,noun,b2
brcik,false,noun,b2
bride,true,noun,b1
brid,false,noun,b1
brief,true,adjective,b2
breif,false,adjective,b2
briefly,true,adverb,b2
breifly,false,adverb,b2
broad,true,adjective,b2
broud,false,adjective,b2
broadband,true,noun,c1
broudband,false,noun,c1
broadcast,true,noun,b2
broudcast,false,noun,b2
broadcaster,true,noun,b2
broudcaster,false,noun,b2
broadly,true,adverb,b2
broudly,false,adverb,b2
browser,true,noun,c1
broswer,false,noun,c1
brutal,true,adjective,c1
bruttal,false,adjective,c1
bubble,true,noun,b1
bubbl,false,noun,b1
buck,true,noun,c1
bukc,false,noun,c1
buddy,true,noun,c1
buddyy,false,noun,c1
budget,true,noun,b2
budegt,false,noun,b2
buffer,true,noun,c1
buphfer,false,noun,c1
bulk,true,noun,c1
bukl,false,noun,c1
bullet,true,noun,b2
bulet,false,noun,b2
bunch,true,noun,b2
bucnh,false,noun,b2
burden,true,noun,c1
buredn,false,noun,c1
bureaucracy,true,noun,c1
bureeucracy,false,noun,c1
burial,true,noun,c1
burrial,false,noun,c1
burn,true,noun,b2
bunr,false,noun,b2
burst,true,verb,c1
busrt,false,verb,c1
bury,true,verb,b1
burry,false,verb,b1
bush,true,noun,b2
buhs,false,noun,b2
cabin,true,noun,b2
caibn,false,noun,b2
cabinet,true,noun,c1
cabinnet,false,noun,c1
cable,true,noun,b2
cible,false,noun,b2
calculate,true,verb,b2
calcullate,false,verb,b2
calculation,true,noun,c1
calculasion,false,noun,c1
calm,true,adjective,b1
caml,false,adjective,b1
campaign,true,noun,b1
campiagn,false,noun,b1
campus,true,noun,b1
camups,false,noun,b1
canal,true,noun,b2
cannal,false,noun,b2
cancel,true,verb,b2
cencel,false,verb,b2
cancer,true,noun,b2
cencer,false,noun,b2
candidate,true,noun,b1
candidatte,false,noun,b1
candle,true,noun,b2
candl,false,noun,b2
canvas,true,noun,c1
canavs,false,noun,c1
capability,true,noun,c1
capabillity,false,noun,c1
capable,true,adjective,b2
capible,false,adjective,b2
capacity,true,noun,b2
cappacity,false,noun,b2
capitalism,true,noun,c1
capitallism,false,noun,c1
capitalist,true,adjective,c1
capitallist,false,adjective,c1
captain,true,noun,b1
capatin,false,noun,b1
capture,true,noun,b2
capturre,false,noun,b2
carbon,true,noun,b2
carobn,false,noun,b2
careless,true,adjective,b1
careles,false,adjective,b1
cargo,true,noun,c1
cagro,false,noun,c1
carriage,true,noun,c1
cariage,false,noun,c1
carve,true,verb,c1
carv,false,verb,c1
casino,true,noun,c1
casinno,false,noun,c1
cast,true,noun,b2
cats,false,noun,b2
casual,true,adjective,b2
cassual,false,adjective,b2
casualty,true,noun,c1
cassualty,false,noun,c1
catalogue,true,noun,c1
catallogue,false,noun,c1
catch,true,noun,b2
cacth,false,noun,b2
category,true,noun,b1
catagory,false,noun,b1
cater,true,verb,c1
catter,false,verb,c1
cattle,true,noun,c1
catle,false,noun,c1
caution,true,noun,c1
causion,false,noun,c1
cautious,true,adjective,c1
cautioas,false,adjective,c1
cave,true,noun,b2
cease,true,verb,c1
ceese,false,verb,c1
ceiling,true,noun,b1
cieling,false,noun,b1
celebration,true,noun,b1
celebrasion,false,noun,b1
cell,true,noun,b2
cemetery,true,noun,c1
cemetary,false,noun,c1
central,true,adjective,b1
cenrtal,false,adjective,b1
centre,true,verb,b1
centr,false,verb,b1
ceremony,true,noun,b1
ceremmony,false,noun,b1
certainty,true,noun,b2
certianty,false,noun,b2
certificate,true,noun,b2
certiphicate,false,noun,b2
chain,true,noun,b1
chian,false,noun,b1
chair,true,verb,b2
chiar,false,verb,b2
chairman,true,noun,b2
chaimran,false,noun,b2
challenge,true,noun,b1
chalenge,false,noun,b1
challenging,true,adjective,b2
chalenging,false,adjective,b2
chamber,true,noun,c1
chabmer,false,noun,c1
champion,true,noun,b1
chamipon,false,noun,b1
championship,true,noun,b2
champinoship,false,noun,b2
channel,true,noun,b1
chanel,false,noun,b1
chaos,true,noun,c1
choas,false,noun,c1
chapter,true,noun,b1
chatper,false,noun,b1
characteristic,true,adjective,b2
charracteristic,false,adjective,b2
characterize,true,verb,c1
charracterize,false,verb,c1
charge,true,noun,b1
charg,false,noun,b1
charm,true,noun,c1
chram,false,noun,c1
charming,true,adjective,b2
charimng,false,adjective,b2
chart,true,verb,b2
chrat,false,verb,b2
charter,true,noun,c1
chatrer,false,noun,c1
chase,true,noun,b2
chasse,false,noun,b2
cheap,true,adverb,b1
cheep,false,adverb,b1
cheat,true,noun,b1
cheet,false,noun,b1
cheek,true,noun,b2
cheak,false,noun,b2
cheer,true,noun,b2
chear,false,noun,b2
cheerful,true,adjective,b1
chearful,false,adjective,b1
chemical,true,adjective,b1
chemmical,false,adjective,b1
chest,true,noun,b1
chset,false,noun,b1
chief,true,adjective,b2
cheif,false,adjective,b2
childhood,true,noun,b1
chilhdood,false,noun,b1
choir,true,noun,b2
chior,false,noun,b2
chop,true,verb,b2
chpo,false,verb,b2
chronic,true,adjective,c1
chronnic,false,adjective,c1
chunk,true,noun,c1
chnuk,false,noun,c1
circuit,true,noun,b2
cirucit,false,noun,b2
circulate,true,verb,c1
circullate,false,verb,c1
circulation,true,noun,c1
circulasion,false,noun,c1
circumstance,true,noun,b2
circumstence,false,noun,b2
cite,true,verb,b2
citte,false,verb,b2
citizen,true,noun,b2
cittizen,false,noun,b2
citizenship,true,noun,c1
cittizenship,false,noun,c1
civic,true,adjective,c1
ciivc,false,adjective,c1
civil,true,adjective,b2
ciivl,false,adjective,b2
civilian,true,adjective,c1
civillian,false,adjective,c1
civilization,true,noun,b2
civilizasion,false,noun,b2
claim,true,noun,b1
cliam,false,noun,b1
clarify,true,verb,b2
clariphy,false,verb,b2
clarity,true,noun,c1
claritty,false,noun,c1
clash,true,noun,c1
clsah,false,noun,c1
classic,true,adjective,b2
clasic,false,adjective,b2
classification,true,noun,c1
classificasion,false,noun,c1
classify,true,verb,b2
classiphy,false,verb,b2
clause,true,noun,b1
clausse,false,noun,b1
cleaning,true,noun,
cleening,false,noun,
clear,true,verb,b1
cleer,false,verb,b1
clerk,true,noun,b2
clrek,false,noun,b2
click,true,noun,b1
clcik,false,noun,b1
client,true,noun,b1
cleint,false,noun,b1
cliff,true,noun,b2
cliphf,false,noun,b2
climb,true,noun,b1
clmib,false,noun,b1
cling,true,verb,c1
clnig,false,verb,c1
clinic,true,noun,b2
clinnic,false,noun,b2
clinical,true,adjective,c1
clinnical,false,adjective,c1
clip,true,noun,b2
clpi,false,noun,b2
close,true,adverb,b1
closse,false,adverb,b1
closely,true,adverb,b2
closelly,false,adverb,b2
closure,true,noun,c1
clossure,false,noun,c1
cloth,true,noun,b1
cltoh,false,noun,b1
clue,true,noun,b1
cleu,false,noun,b1
cluster,true,noun,c1
clutser,false,noun,c1
coach,true,verb,b1
couch,false,verb,b1
coal,true,noun,b1
coul,false,noun,b1
coalition,true,noun,c1
coalision,false,noun,c1
coastal,true,adjective,c1
coustal,false,adjective,c1
cocktail,true,noun,c1
cockatil,false,noun,c1
cognitive,true,adjective,c1
cognittive,false,adjective,c1
coin,true,noun,b1
coni,false,noun,b1
coincide,true,verb,c1
coincid,false,verb,c1
coincidence,true,noun,b2
coincidance,false,noun,b2
collaborate,true,verb,c1
colaborate,false,verb,c1
collaboration,true,noun,c1
collaborasion,false,noun,c1
collapse,true,noun,b2
colapse,false,noun,b2
collection,true,noun,b1
collecsion,false,noun,b1
collective,true,adjective,c1
colective,false,adjective,c1
collector,true,noun,b2
colector,false,noun,b2
collision,true,noun,c1
collition,false,noun,c1
colonial,true,adjective,c1
colonnial,false,adjective,c1
colony,true,noun,b2
colonny,false,noun,b2
coloured,true,adjective,b1
coloared,false,adjective,b1
colourful,true,adjective,b2
coloarful,false,adjective,b2
columnist,true,noun,c1
collumnist,false,noun,c1
combat,true,noun,c1
comabt,false,noun,c1
combination,true,noun,b2
combinasion,false,noun,b2
combine,true,verb,b1
combinne,false,verb,b1
comfort,true,noun,b2
comphort,false,noun,b2
comic,true,adjective,b2
commic,false,adjective,b2
command,true,noun,b2
comand,false,noun,b2
commander,true,noun,b2
comander,false,noun,b2
commence,true,verb,c1
commance,false,verb,c1
comment,true,verb,b1
coment,false,verb,b1
commentary,true,noun,c1
commentery,false,noun,c1
commentator,true,noun,c1
comentator,false,noun,c1
commerce,true,noun,c1
comerce,false,noun,c1
commercial,true,adjective,b1
comercial,false,adjective,b1
commission,true,noun,b2
commistion,false,noun,b2
commissioner,true,noun,c1
commistioner,false,noun,c1
commit,true,verb,b1
comit,false,verb,b1
commitment,true,noun,b2
comitment,false,noun,b2
committee,true,noun,b2
comittee,false,noun,b2
commodity,true,noun,c1
comodity,false,noun,c1
commonly,true,adverb,b2
comonly,false,adverb,b2
communication,true,noun,b1
communicasion,false,noun,b1
communist,true,adjective,c1
comunist,false,adjective,c1
companion,true,noun,c1
compannion,false,noun,c1
comparable,true,adjective,c1
comparible,false,adjective,c1
comparative,true,adjective,b2
comparattive,false,adjective,b2
comparison,true,noun,b1
comparisson,false,noun,b1
compassion,true,noun,c1
compastion,false,noun,c1
compel,true,verb,c1
comepl,false,verb,c1
compelling,true,adjective,c1
compeling,false,adjective,c1
compensate,true,verb,c1
compensatte,false,verb,c1
compensation,true,noun,c1
compensasion,false,noun,c1
competence,true,noun,c1
competance,false,noun,c1
competent,true,adjective,c1
compettent,false,adjective,c1
competitive,true,adjective,b1
compettitive,false,adjective,b1
competitor,true,noun,b1
compettitor,false,noun,b1
compile,true,verb,c1
compille,false,verb,c1
complaint,true,noun,b1
compalint,false,noun,b1
complement,true,verb,c1
complemment,false,verb,c1
completion,true,noun,b2
complesion,false,noun,b2
complex,true,adjective,b1
comlpex,false,adjective,b1
complexity,true,noun,c1
complexitty,false,noun,c1
compliance,true,noun,c1
complience,false,noun,c1
complicated,true,adjective,b2
complicatted,false,adjective,b2
complication,true,noun,c1
complicasion,false,noun,c1
comply,true,verb,c1
comlpy,false,verb,c1
component,true,noun,b2
componnent,false,noun,b2
compose,true,verb,b2
composse,false,verb,b2
composer,true,noun,b2
composser,false,noun,b2
composition,true,noun,c1
composision,false,noun,c1
compound,true,noun,b2
compoand,false,noun,b2
comprehensive,true,adjective,b2
comprehensiv,false,adjective,b2
comprise,true,verb,b2
comprisse,false,verb,b2
compromise,true,noun,c1
comprommise,false,noun,c1
compulsory,true,adjective,b2
compulsorry,false,adjective,b2
compute,true,verb,c1
computte,false,verb,c1
conceal,true,verb,c1
conceel,false,verb,c1
concede,true,verb,c1
conced,false,verb,c1
conceive,true,verb,c1
concieve,false,verb,c1
concentrate,true,verb,b1
concentratte,false,verb,b1
concentration,true,noun,b2
concentrasion,false,noun,b2
concept,true,noun,b2
conecpt,false,noun,b2
conception,true,noun,c1
concepsion,false,noun,c1
concern,true,noun,b2
conecrn,false,noun,b2
concerned,true,adjective,b2
concrened,false,adjective,b2
concession,true,noun,c1
concestion,false,noun,c1
conclude,true,verb,b1
conclud,false,verb,b1
conclusion,true,noun,b1
conclution,false,noun,b1
concrete,true,adjective,b2
concrette,false,adjective,b2
condemn,true,verb,c1
conedmn,false,verb,c1
conduct,true,noun,b2
conudct,false,noun,b2
confer,true,verb,c1
conpher,false,verb,c1
confess,true,verb,b2
conphess,false,verb,b2
confession,true,noun,c1
confestion,false,noun,c1
confidence,true,noun,b2
confidance,false,noun,b2
confident,true,adjective,b1
conphident,false,adjective,b1
configuration,true,noun,c1
configurasion,false,noun,c1
confine,true,verb,c1
conphine,false,verb,c1
confirm,true,verb,b1
conphirm,false,verb,b1
confirmation,true,noun,c1
confirmasion,false,noun,c1
conflict,true,noun,b2
conphlict,false,noun,b2
confront,true,verb,c1
conphront,false,verb,c1
confrontation,true,noun,c1
confrontasion,false,noun,c1
confuse,true,verb,b1
conphuse,false,verb,b1
confused,true,adjective,b1
conphused,false,adjective,b1
confusing,true,adjective,b2
conphusing,false,adjective,b2
confusion,true,noun,b2
confution,false,noun,b2
congratulate,true,verb,c1
congratullate,false,verb,c1
congregation,true,noun,c1
congregasion,false,noun,c1
congressional,true,adjective,c1
congrestional,false,adjective,c1
connection,true,noun,b1
connecsion,false,noun,b1
conquer,true,verb,c1
conuqer,false,verb,c1
conscience,true,noun,c1
conscense,false,noun,c1
conscious,true,adjective,b2
consious,false,adjective,b2
consciousness,true,noun,c1
conscioasness,false,noun,c1
consecutive,true,adjective,c1
consecuttive,false,adjective,c1
consensus,true,noun,c1
concensus,false,noun,c1
consent,true,noun,c1
conesnt,false,noun,c1
consequence,true,noun,b1
consequance,false,noun,b1
consequently,true,adverb,b2
conseqeuntly,false,adverb,b2
conservation,true,noun,b2
conservasion,false,noun,b2
conservative,true,adjective,b2
conservattive,false,adjective,b2
conserve,true,verb,c1
conserv,false,verb,c1
considerable,true,adjective,b2
considerible,false,adjective,b2
considerably,true,adverb,b2
