word,isCorrect,definition
ผลัดเวลา,false,
ฝีดาษ,true,"น. ชื่อโรคระบาดชนิดหนึ่ง เกิดจากเชื้อไวรัส มีอาการไข้สูงแล้วมีผื่นขึ้นดาษตามใบหน้าและลำตัว ต่อมาผื่นจะกลายเป็นตุ่ม ตุ่มใส ตุ่มหนอง และตกสะเก็ด ตามลำดับ เมื่อหายแล้วมีแผลเป็นเป็นรอยบุ๋ม, ไข้ทรพิษ ก็เรียก, โบราณเรียก ไข้หัว. (อ. smallpox, variola). แม่คำของ """"ฝีดาษ"""" คือ ฝี ๑"
ฝีดาต,false,
ฝีดาด,false,
พิศมัย,false,
พิสมัย,true,"(๑) [พิดสะไหฺม] น. ความรัก, ความปลื้มใจ, ความชื่นชม. (ส. วิสฺมย; ป. วิมฺหย ว่า ความแปลกใจ). (๒) [พิดสะไหฺม] ก. รักใคร่หลงใหล เช่น ฉันไม่เห็นจะพิสมัยเธอเลย. (ส. วิสฺมย; ป. วิมฺหย ว่า ความแปลกใจ). (๓) [พิดสะไหฺม] ว. ควรชม. (ส. วิสฺมย; ป. วิมฺหย ว่า ความแปลกใจ)."
พุทธชาด,true,"[พุดทะ-] น. ชื่อไม้เถาชนิด Jasminum auriculatum Vahl ในวงศ์ Oleaceae ดอกสีขาวกลิ่นหอม, บุหงาประหงัน ก็เรียก."
พุทธชาต,false,
พุทธชาติ,false,
พู่กัน,true,"น. เครื่องเขียนหนังสือหรือระบายสี ตอนปลายเป็นพู่ทำด้วยขนสัตว์. แม่คำของ """"พู่กัน"""" คือ พู่"
ภู่กัน,false,
เภทภัย,true,"[เพดไพ] น. ภัยต่าง ๆ. แม่คำของ """"เภทภัย"""" คือ เภท"
เพทภัย,false,
มงกุฎ,true,"(๑) น. เครื่องสวมพระเศียรพระมหากษัตริย์ เศียรพระพุทธรูปทรงเครื่องหรือเทวรูปเป็นต้น มีลักษณะต่าง ๆ กัน โดยปริยายใช้เรียกเครื่องประดับศีรษะที่มีลักษณะเช่นนั้น เช่น มงกุฎนางงามจักรวาล มงกุฎนางสาวไทย. (๒) ว. สูงสุด, ยอดเยี่ยม. ลูกคำของ """"มงกุฎ"""" คือ มงกุฎไทย"
มงกุฏ,false,
ม่าเหมี่ยว,true,"ดู กระดิ่งทอง. ความหมายที่เกี่ยวข้อง ดู กระดิ่งทอง"
มะเหมี่ยว,false,
รังสฤษฏ์,true,"[-สะหฺริด] ก. สร้าง, แต่งตั้ง. แม่คำของ """"รังสฤษฏ์"""" คือ รัง ๓"
รังสฤษดิ์,false,
ลายเซ็น,true,"(ปาก) น. ลายมือชื่อ. แม่คำของ """"ลายเซ็น"""" คือ ลาย ๑"
ลายเซนต์,false,
ลายเซ็นต์,false,
ลำไส้,true,"น. ส่วนของทางเดินอาหารซึ่งอยู่ระหว่างกระเพาะอาหารกับทวารหนัก เป็นท่อยาวขดไปมาอยู่ในช่องท้อง มีหน้าที่ย่อย ดูดซึมอาหารและน้ำ พักและขับถ่ายกากอาหาร, ไส้ ก็เรียก. แม่คำของ """"ลำไส้"""" คือ ลำ ๑"
ลำใส้,false,
เลือกสรร,true,"ก. พิจารณาคัดเอาแต่ที่ดี ๆ เช่น เลือกสรรถ้อยคำมาใช้ให้เหมาะสม. แม่คำของ """"เลือกสรร"""" คือ เลือก ๑"
เลือกสรรค์,false,
โล่,true,"น. ชื่อแพรชนิดหนึ่งเส้นไหมโปร่ง, ใช้เรียกผ้าบาง ๆ ก็มี เช่น ผ้าป่านโล่."
โล่ห์,false,
วิ่งผลัด,true,"น. การแข่งขันชนิดหนึ่ง แบ่งออกเป็นชุด ๆ ชุดละ ๔ คน แต่ละชุดจัดคนยืนอยู่ในลู่ของตนตามจุดต่าง ๆ ที่กำหนด คนแรกจะเริ่มวิ่งจากต้นทาง แล้วส่งไม้ให้คนที่ ๒ คนที่ ๒ วิ่งไปส่งให้คนที่ ๓ และคนที่ ๓ วิ่งไปส่งให้คนที่ ๔ ตามลำดับ คนที่ ๔ ของชุดใดวิ่งถึงหลักชัยก่อนเป็นผู้ชนะ. แม่คำของ """"วิ่งผลัด"""" คือ วิ่ง"
วิ่งผัด,false,
เวนคืน,true,"ก. โอนคืนที่ดินหรืออสังหาริมทรัพย์อย่างอื่นของเอกชนมาเป็นของรัฐ โดยอาศัยอำนาจตามบทบัญญัติแห่งกฎหมาย. แม่คำของ """"เวนคืน"""" คือ เวน"
เวรคืน,false,
ศิลปะ,true,"(๑) [สินละปะ-, สิน, สินละปะ] น. ฝีมือ, ฝีมือทางการช่าง, การทำให้วิจิตรพิสดาร, เช่น รูปสลักวีนัสเป็นรูปศิลป์ เขาทำดอกไม้ประดิดประดอยอย่างมีศิลปะ ผู้หญิงสมัยนี้มีศิลปะในการแต่งตัว (ส. ศิลฺป; ป. สิปฺป ว่า มีฝีมืออย่างยอดเยี่ยม). (๒) น. การแสดงออกซึ่งอารมณ์สะเทือนใจให้ประจักษ์ด้วยสื่อต่าง ๆ อย่างเสียง เส้น สี ผิว รูปทรง เป็นต้น เช่น วิจิตรศิลป์ ศิลปะการดนตรี ศิลปะการวาดภาพ ศิลปะการละคร. (ส. ศิลฺป; ป. สิปฺป ว่า มีฝีมืออย่างยอดเยี่ยม). ลูกคำของ """"ศิลป-, ศิลป์ ๑, ศิลปะ"""" คือ ศิลปกร ศิลปกรรม ศิลปการ ๑ ศิลปการ ๒ ศิลปกิจ ศิลปธาตุ ศิลปลักษณะ ศิลปวัตถุ ศิลปวิทยา ศิลปศาสตร์ ศิลปศึกษา ศิลปหัตถกรรม ศิลปะปฏิบัติ ศิลปะประยุกต์ ศิลปะพื้นบ้าน ศิลปะสถาปัตยกรรม ศิลปิน ศิลปี"
ศิลป,false,
โศกเศร้า,true,"ว. มีความทุกข์โศกเสียใจอาลัยอาวรณ์มาก เช่น พ่อตายทำให้เขาโศกเศร้าเสียใจมาก, เศร้าโศก ก็ว่า. แม่คำของ """"โศกเศร้า"""" คือ โศก ๑ โศก-"
โศรกเศร้า,false,
สกัด,true,"(๑) ก. กั้น, ขวาง, เช่น สกัดหน้า (ข.). (๒) ก. ตัดหรือกะเทาะของแข็งเช่นเหล็ก หิน ให้เป็นร่อง รอย ทะลุ หรือให้ขาดจากกัน, เรียกเหล็กที่ใช้ตัดหรือกะเทาะของแข็งเช่นนั้น ว่า เหล็กสกัด (ข.). (๓) ก. เค้นหรือแยกเอาออกมา เช่น สกัดนํ้ามัน สกัดน้ำหอมจากดอกกุหลาบ. (ข.)."
สะกัด,false,
สนุกเกอร์,true,"[สะนุก-] น. ชื่อกีฬาในร่มชนิดหนึ่งเล่นบนโต๊ะบิลเลียด ผู้เล่นใช้ไม้แทงลูกเรียกว่า ไม้คิว แทงลูกกลมสีขาวให้กระทบลูกกลมสีต่าง ๆ ซึ่งมีลูกแดง ๑๕ ลูก ลูกดำ ชมพู นํ้าเงิน นํ้าตาล เขียว และเหลือง อีกอย่างละ ๑ ลูก ให้ลงหลุมทีละลูกตามที่กำหนดไว้ในกติกา หรือทำให้คู่ต่อสู้ไม่สามารถแทงลูกสีขาวให้กระทบกับลูกที่ต้องถูกกระทบได้ ซึ่งเรียกว่า ทำสนุก. (อ. snooker)."
สนุ๊กเกอร์,false,
สบง,true,"[สะบง] น. ผ้านุ่งของภิกษุสามเณร. (ข. สฺบ่ง)."
สะบง,false,
สะอาด,true,"ว. ไม่สกปรก เช่น เสื้อผ้าสะอาด บ้านเรือนสะอาด น้ำสะอาด, หมดจด, ผ่องใส, เช่น จิตใจสะอาด, ไม่มีตำหนิ, บริสุทธิ์, ไม่ทุจริต, เช่น เขาเป็นคนใจซื่อมือสะอาด. ลูกคำของ """"สะอาด"""" คือ สะอาดสะอ้าน"
สอาด,false,
สักการบูชา,true,
สักการะบูชา,false,
สังเกต,true,"(๑) ก. กำหนดไว้, หมายไว้, เช่น ทำเครื่องหมายไว้เป็นที่สังเกต (ป., ส.). (๒) ก. ตั้งใจดู, จับตาดู, เช่น ไม่ได้สังเกตว่าวันนี้เขาแต่งตัวสีอะไร สังเกตกิริยาท่าทางเขาไว้ว่าเป็นคนดีหรือคนร้าย. (ป., ส.). ลูกคำของ """"สังเกต"""" คือ สังเกตการณ์"
สังเกตุ,false,
สังวาล,true,"น. สร้อยเครื่องประดับชนิดหนึ่งใช้คล้องเฉวียงบ่า. (ป. เสวาล; ส. เศวาล, ไศวาล ว่า สาหร่าย). ลูกคำของ """"สังวาล"""" คือ สังวาลพราหมณ์"
สังวาลย์,false,
สันตะปาปา,true,"น. ผู้เป็นประมุขคริสต์ศาสนา นิกายโรมันคาทอลิก, โป๊ป ก็เรียก."
สันตปาปา,false,
สับปะรด,true,"(๑) น. ชื่อไม้ล้มลุกชนิด Ananas comosus (L.) Merr. ในวงศ์ Bromeliaceae ไม่มีลำต้นปรากฏบนพื้นดิน ใบเป็นกาบยาวให้ใยใช้ทำสิ่งทอ ขอบใบมีหนาม ผลมีตาโดยรอบ กินได้ รสเปรี้ยว ๆ หวาน ๆ (๒) น. เรียกใยของพรรณไม้บางชนิดที่มีลักษณะอย่างใยสับปะรด ใช้ทำหมวกเป็นต้น ว่า ไหมสับปะรด. ลูกคำของ """"สับปะรด"""" คือ สับปะรดเทศ"
สัปปะรด,false,
สัมมนา,true,"น. การประชุมแบบหนึ่ง ซึ่งมีวัตถุประสงค์เพื่อแลกเปลี่ยนความรู้ ความคิดเห็น และหาข้อสรุปหรือข้อเสนอแนะในเรื่องใดเรื่องหนึ่ง ผลสรุปที่ได้ถือว่าเป็นเพียงข้อเสนอแนะ ผู้เกี่ยวข้องจะนำไปปฏิบัติตามหรือไม่ก็ได้ เช่น สัมมนาการศึกษาประชาบาล. (อ. seminar)."
สัมนา,false,
สำมนา,false,
สาบสูญ,true,"(๑) ก. สูญหายไปอย่างไม่ทิ้งร่องรอย. (๒) (กฎ) น. เรียกบุคคลซึ่งได้ไปจากภูมิลำเนาหรือถิ่นที่อยู่ และไม่มีใครรู้แน่ว่าบุคคลนั้นยังมีชีวิตอยู่หรือไม่ตลอดระยะเวลา ๕ ปี และศาลมีคำสั่งให้เป็นคนสาบสูญ ว่า คนสาบสูญ ระยะเวลา ๕ ปี ดังกล่าว ลดลงเหลือ ๒ ปี นับแต่วันที่การรบหรือสงครามสิ้นสุดลง ถ้าบุคคลนั้นอยู่ในการรบหรือสงคราม และหายไปในการรบหรือสงครามดังกล่าว หรือนับแต่วันที่ยานพาหนะที่บุคคลนั้นเดินทางไป ได้อับปาง ถูกทำลายหรือสูญหาย หรือนับแต่วันที่เหตุอันตรายแก่ชีวิต นอกจากที่ระบุไว้ใน ๒ กรณีดังกล่าวข้างต้นได้ผ่านพ้นไป ถ้าบุคคลนั้นตกอยู่ในอันตรายเช่นว่านั้น."
สาปสูญ,false,
สำปะหลัง,true,"น. ชื่อมันชนิด Manihot esculenta Crantz ในวงศ์ Euphorbiaceae หัวดิบเป็นพิษ, สำโรง ก็เรียก."
สัมปะหลัง,false,
สำอาง,true,"(๑) น. เครื่องแป้งเครื่องหอม เรียกว่า เครื่องสำอาง, ปัจจุบันหมายถึง สิ่งเสริมแต่งหรือบำรุงใบหน้า ผิวพรรณ ผม เป็นต้นให้ดูงาม เช่น แป้ง ลิปสติก ดินสอเขียน คิ้ว, ราชาศัพท์ใช้ว่า เครื่องพระสำอาง. (๒) ว. ที่ทำให้งามสะอาดหมดจด, งามสะอาดหมดจด, งามกรีดกรายหยิบหย่ง เช่น เขาเป็นหนุ่มสำอางท่าทางกรีดกราย."
สำอางค์,false,
หมาใน,true,"น. ชื่อหมาชนิด Cuon alpinus (Pallas) ในวงศ์ Canidae ขนสีน้ำตาลแดงหรือน้ำตาลเทา หางสีคลํ้ายาวเป็นพวง อาศัยอยู่ตามป่าทึบ ออกหากินเป็นฝูงเวลาเช้ามืดและพลบคํ่า ล่าสัตว์อื่นกินเป็นอาหาร เช่น เก้ง กวาง กระจง รวมทั้ง สัตว์เล็กอื่น ๆ. แม่คำของ """"หมาใน"""" คือ หมา ๑"
หมาไน,false,
หยากไย่,true,"น. ใยแมงมุมที่ติดค้างอยู่ในที่ต่าง ๆ, หยักไย่ ก็ว่า."
หยากใย่,false,
หลับใหล,true,
หลับไหล,false,
อหังการ,true,"(๑) [อะ-] น. การยึดว่าเป็นตัวเรา (ป., ส.). (๒) น. ความเย่อหยิ่งจองหอง, ความทะนงตัว, ความก้าวร้าวด้วยการถือว่าตนเองสำคัญ. (ป., ส.). (๓) [อะ-] ก. หยิ่ง, จองหอง, อวดดี. (ป., ส.)."
อะหังการ,false,
ออกซิเจน,true,"น. ธาตุลำดับที่ ๘ สัญลักษณ์ O เป็นแก๊ส มีปนอยู่ในอากาศประมาณร้อยละ ๒๐ โดยปริมาตร ไม่มีสี ไม่มีกลิ่น ไม่มีรส ไม่ติดไฟ แต่ช่วยให้ไฟติด มีประโยชน์อย่างยิ่งต่อการหายใจและการเผาไหม้เป็นต้น ใช้จุดกับแก๊สอะเซทิลีนเพื่อเชื่อมหรือตัดโลหะ ในทางแพทย์ใช้ช่วยการหายใจของคนไข้. (อ. oxygen)."
อ๊อกซิเจน,false,
อานิสงส์,true,"(๑) น. ผลแห่งกุศลกรรม, ผลบุญ (ป. อานิสํส; ส. อานฺฤศํส, อานุศํส). (๒) น. ประโยชน์ เช่น อานิสงส์กฐิน. (ป. อานิสํส; ส. อานฺฤศํส, อานุศํส)."
อานิสงฆ์,false,
นะคะ,true,
นะค่ะ,false,
อนุญาต,true,"ก. ยินยอม, ยอมให้, ตกลง. (ป. อนุญฺาต)."
อนุญาติ,false,
ศีรษะ,true,"[สีสะ] น. หัว (เป็นคำสุภาพที่ใช้แก่คน). (ส.; ป. สีส) ลูกคำของ """"ศีรษะ"""" คือ ศีรษะกระบือ ศีรษะโค ศีรษะช้าง ศีรษะเนื้อ"
ศรีษะ,false,
ปรากฏ,true,"[ปฺรากด] ก. สำแดงออกมาให้เห็น. (ส. ปฺรกฏ; ป. ปากฏ). ลูกคำของ """"ปรากฏ"""" คือ ปรากฏการณ์"
ปรากฎ,false,
กฎหมาย,true,"(๑) (กฎ) น. กฎเกณฑ์ที่ผู้มีอำนาจตราขึ้นเพื่อใช้บังคับบุคคลให้ปฏิบัติตามเป็นการทั่วไป ผู้ใดไม่ปฏิบัติตามย่อมได้รับผลร้าย กฎหมายอาจตราขึ้นเพื่อกำหนดระเบียบแห่งความสัมพันธ์ระหว่างบุคคลหรือระหว่างบุคคลกับรัฐ หรือเพื่อใช้ในการบริหารประเทศ กฎหมายอาจเกิดจากจารีตประเพณีอันเป็นที่ยอมรับนับถือกันก็ได้. (๒) (โบ) ก. จดบันทึกไว้เป็นหลักฐาน เช่น สั่งให้นายอินกฎหมายผู้มีชื่อทั้งนี้ไว้ (พงศ. อยุธยา), ทำหนังสือเป็นหลักฐาน เช่น อนึ่ง มีผู้ทำหนังสือร้องเรียนกฎหมายว่า…(พระราชกำหนดเก่า) (๓) ก. ออกหมายกำหนด เช่น ให้มหาดไทยกลาโหมกฎหมายบอกแก่ตระลาการ ถ้ากฎหมายมิทั่ว จะเอาตัวผู้กฎหมายลงโทษ (พระราชกำหนดเก่า),กฎหมายงานพระบรมศพครั้งกรุงเก่า (๔) ก. ตราสั่ง เช่น จึ่งกฎหมายให้สามไป เดือนหนึ่งจอมไตร ดำรัสให้เร่งคืนมา (พากย์) (๕) ก. กำหนดขีดขั้น เช่น ให้ปลูกโรงรจนาใน นอกหน้าศาลชัย ให้ตั้งพิกัดกฎหมาย (พากย์). ลูกคำของ """"กฎหมาย"""" คือ กฎหมายตราสามดวง กฎหมายปกครอง กฎหมายปิดปาก กฎหมายพาณิชย์ กฎหมายแพ่ง กฎหมายมหาชน กฎหมายระหว่างประเทศ กฎหมายรัฐธรรมนูญ กฎหมายเหตุ กฎหมายอาญา กฎหมายเอกชน"
กฏหมาย,false,
กะเทย,true,"(๑) น. คนที่มีอวัยวะเพศทั้งชายและหญิง, คนที่มีจิตใจและกิริยาอาการตรงข้ามกับเพศของตน (อะหม ว่า เทย). (๒) น. ผลไม้ที่เมล็ดลีบ เช่น ลำไยกะเทย. (อะหม ว่า เทย)."
กระเทย,false,
ผูกพัน,true,"(๑) ก. มีความเป็นห่วงกังวลเพราะรักใคร่เป็นต้น (๒) ก. ก่อให้เกิดพันธะที่จะต้องปฏิบัติตาม (๓) (การคลัง) ก่อหนี้สินผูกมัดรัฐบาลให้ต้องจ่ายในงบประมาณแผ่นดินต่อ ๆ ไป เช่น หนี้ผูกพัน งบประมาณผูกพัน รายจ่ายผูกพัน. แม่คำของ """"ผูกพัน"""" คือ ผูก"
ผูกพันธ์,false,
โอกาส,true,"(๑) [-กาด] น. ช่อง, ทาง (ป.; ส. อวกาศ). (๒) น. เวลาที่เหมาะ, จังหวะ. (ป.; ส. อวกาศ)."
โอกาศ,false,
รสชาติ,true,"[รดชาด] น. รส เช่น แกงนี้ไม่มีรสชาติเลย. แม่คำของ """"รสชาติ"""" คือ รส"
รสชาด,false,
ซีรีส์,true,
ซีรีย์,false,
อินเทอร์เน็ต,true,
อินเตอร์เน็ต,false,
อัญชัน,true,"(๑) น. ชื่อไม้เถาชนิด Clitoria ternatea L. ในวงศ์ Leguminosae ดอกสีครามแก่ ขาว และม่วงอ่อน. (๒) ว. เรียกสีครามแก่อย่างสีดอกอัญชัน ว่า สีอัญชัน."
อัญชัญ,false,
มุกตลก,true,"[-ตะหฺลก] น. วิธีทำให้ขบขัน."
มุขตลก,false,
งอน,true,"(๑) น. ส่วนปลายแห่งของบางอย่างที่เป็นรูปยาวเรียวและช้อยขึ้น เช่น งอนไถ. (๒) ว. ช้อยขึ้น, โง้งขึ้น. (๓) ก. แสดงอาการโกรธเคืองหรือไม่พอใจเพื่อให้เขาง้อ, ทำจริตสะบัดสะบิ้ง. ลูกคำของ """"งอน ๑"""" คือ งอนง้อ งอนไถ"
งอล,false,
เท่,true,"(๑) ว. เอียงน้อย ๆ (มักใช้แก่การสวมหมวก) (๒) ว. โก้เก๋ เช่น แต่งตัวเท่."
เท่ห์,false,
กะพริบ,true,"[-พฺริบ] ก. ปิดและเปิดหนังตาโดยเร็ว, โดยปริยายหมายถึงอาการที่คล้ายคลึงเช่นนั้น เช่น ไฟกะพริบ."
กระพริบ,false,
เว็บไซต์,true,
เว็ปไซต์,false,
อัปเดต,true,
อัพเดท,false,
แอปพลิเคชัน,true,
แอพพลิเคชั่น,false,
สแกน,true,
แสกน,false,
สะแกน,false,
ขโมย,true,"(๑) [ขะ-] น. ผู้ลักทรัพย์. (๒) [ขะ-] ก. ลัก, โดยปริยายหมายความว่า ลอบทำสิ่งที่ตนไม่มีสิทธิ์หรือไม่ได้รับอนุญาต เช่น เด็กขโมยสูบบุหรี่ เขาขโมยอ่านจดหมายเพื่อน."
โขมย,false,
ขะโมย,false,
กะโหลก,true,"(๑) [-โหฺลก] น. กระดูกที่หุ้มมันสมอง, ส่วนแข็งที่หุ้มเนื้อมะพร้าวหรือตาลเป็นต้น เรียกว่า กะโหลกมะพร้าว กะโหลกตาล, ภาชนะที่ทำด้วยกะโหลกมะพร้าวโดยตัดทางตาออกพอเป็นช่องกว้างเพื่อใช้ตักนํ้า (๒) น. โดยปริยายหมายความถึงวัตถุที่มีลักษณะเช่นนั้น เช่น กะโหลกโครงหัวโขน (๓) น. เรียกพรรณไม้บางชนิด เช่น ลำไย ลิ้นจี่ ที่มีผลโต เนื้อหนากว่าปรกติ เช่น ลำไยกะโหลก ลิ้นจี่กะโหลก."
กระโหลก,false,
กาลเทศะ,true,"(๑) [กาละ-] น. เวลาและสถานที่ (ส.). (๒) น. ความควรไม่ควร. (ส.). แม่คำของ """"กาลเทศะ"""" คือ กาล ๑ กาล-"
กาละเทศะ,false,
กรีฑา,true,"(๑) [กฺรีทา] น. กีฬาอย่างหนึ่งแบ่งเป็น ๒ ประเภท คือ ประเภทลู่ เช่น การวิ่งระยะทางต่าง ๆ วิ่งผลัด วิ่งข้ามรั้ว ซึ่งในการแข่งขันต้องมีทางหรือแนวทางวิ่ง อีกประเภทหนึ่ง คือ ประเภทลาน เช่น กระโดดสูง พุ่งแหลน ทุ่มน้ำหนัก ซึ่งต้องมีสถานที่กว้างเพื่อการแข่งขัน (ส.). (๒) น. การเล่นสนุก เช่น กรีฑาร่าเริงรื่น (ส.). (๓) น. การประลองยุทธ์. (ส.). ลูกคำของ """"กรีฑา ๑"""" คือ กรีฑาสถาน"
กรีทา,false,
เกม,true,"น. การแข่งขันที่มีกติกากำหนด เช่น เกมกีฬา, การเล่นเพื่อความสนุก เช่น เกมคอมพิวเตอร์, การแสดงเพื่อสาธิตกิจกรรม เช่น เกมการบริหาร, โดยปริยายหมายถึงการแสดงที่ใช้กลวิธีหรือเล่ห์เหลี่ยมเพื่อหักล้างกัน เช่น เกมการเมือง, ลักษณนามเรียกการแข่งขันหรือการเล่นที่จบลงด้วยการแพ้ชนะกันครั้งหนึ่ง ๆ เช่น เล่นแบดมินตัน ๓ เกม. (อ. game). ลูกคำของ """"เกม ๑"""" คือ เกมโชว์"
เกมส์,false,
แกงกะหรี่,true,
แกงกระหรี่,false,
พะแนง,true,"น. แกงคั่วไก่หรือเนื้อเป็นต้น นํ้าแกงข้น."
แพนง,false,
พแนง,false,
มัสมั่น,true,"[มัดสะหฺมั่น] น. ชื่อแกงชนิดหนึ่ง นํ้าแกงข้น เป็นแกงอย่างมุสลิม ใช้เนื้อหรือไก่เป็นต้นชิ้นโต ๆ ปรุงด้วยเครื่องเทศ มีรสเค็ม หวาน และออกเปรี้ยวเล็กน้อย."
มัสหมั่น,false,
กงสุล,true,"(กฎ) น. ชื่อตำแหน่งของบุคคลซึ่งรัฐบาลของประเทศหนึ่งแต่งตั้งให้เป็นผู้แทนประจำอยู่ในเมืองต่าง ๆ ของอีกประเทศหนึ่ง เพื่อทำหน้าที่ช่วยเหลือคนชาติของตนและดูแลผลประโยชน์ทั่วไปของประเทศของตน."
กงศุล,false,
ขะมักเขม้น,true,"[ขะมักขะเม่น] ก. ตั้งใจทำอย่างรีบเร่งเพื่อให้แล้วเสร็จไป, ก้มหน้าก้มตาทำ, เขม้นขะมัก ก็ว่า."
ขมักเขม้น,false,
ขะมักขะเม้น,false,
ขะมักขเม้น,false,
ขมักขเม้น,false,
คลินิก,true,"(๑) น. สถานรักษาพยาบาล โดยมากเป็นของเอกชน มักไม่รับผู้ป่วยให้พักรักษาตัวประจำ (อ. clinic). (๒) น. แผนกของโรงพยาบาลที่รักษาโรคเฉพาะทาง. (อ. clinic)."
คลีนิก,false,
คฤหาสน์,true,"[คะรึหาด] น. เรือน, โดยมากหมายถึงเรือนขนาดใหญ่และสง่าผ่าเผย. (ส. คฤหาสน). แม่คำของ """"คฤหาสน์"""" คือ คฤห คฤห-"
คฤหาสถ์,false,
คำนวณ,true,"ก. กะประมาณ, คิดหาผลลัพธ์โดยวิธีเลข."
คำนวน,false,
ฆาตกร,true,"น. ผู้ที่ฆ่าคน. แม่คำของ """"ฆาตกร"""" คือ ฆาต ฆาต-"
ฆาตรกร,false,
จะงอย,true,"น. ปลายหรือที่สุดที่มีลักษณะโค้งหรืองุ้มลง เช่น จะงอยปากนกแก้ว จะงอยบ่า, ราชาศัพท์เรียก จะงอยบ่า ว่า พระอังสกุฏ."
จงอย,false,
