คำ,ถูกต้อง
ฆาตกร,true
ฆาตรกร,false
จะงอย,true
จงอย,false
จระเข้,true
จรเข้,false
จงกรม,true
จงกลม,false
ซาบซึ้ง,true
ทราบซึ้ง,false
ฌาปนกิจ,true
ฌาปณกิจ,false
ตะกร้า,true
ตระกร้า,false
พายุไต้ฝุ่น,true
พายุใต้ฝุ่น,false
ตำรับ,true
ตำหรับ,false
ทะนุถนอม,true
ทนุถนอม,false
ทะเลสาบ,true
ทะเลสาป,false
ทุพพลภาพ,true
ทุพลภาพ,false
ธุรกิจ,true
ธุระกิจ,false
นัยน์ตา,true
นัยตา,false
เนรมิต,true
เนรมิตร,false
เณรมิต,false
น้ำแข็งไส,true
น้ำแข็งใส,false
บิณฑบาต,true
บิณฑบาตร,false
บิณทบาต,false
บินทบาต,false
บินทะบาต,false
บินทะบาตร,false
เบญจเพส,true
เบญจเพศ,false
ประณีต,true
ปราณีต,false
ประนีต,false
ปลากะพง,true
ปลากระพง,false
เผ่าพันธุ์,true
เผ่าพัน,false
เผ่าพันธ์,false
กุมภาพันธ์,true
กุมภาพันธุ์,false
ผู้เยาว์,true
ผู้เยา,false
พยัคฆ์,true
พยัค,false
พิสดาร,true
พิศดาร,false
ภาพยนตร์,true
ภาพยนต์,false
รำคาญ,true
รำคาน,false
รำคาณ,false
ลูกนิมิต,true
ลูกนิมิตร,false
ลำไย,true
ลำใย,false
มหรสพ,true
มหรศพ,false
มัคคุเทศก์,true
มัคคุเทศน์,false
มัคคุเทศ,false
วิ่งเปี้ยว,true
วิ่งเปรี้ยว,false
วิญญาณ,true
วิญญาน,false
สุคติ,true
สุขคติ,false
สุขติ,false
สมดุล,true
สมดุลย์,false
หมูหย็อง,true
หมูหยอง,false
ไอศกรีม,true
ไอศครีม,false
อุโมงค์,true
อุโมง,false
อุโมงก์,false
ฮ่อยจ๊อ,true
หอยจ๊อ,false
